"DateTime","Last Month","This Month"
"2020-02-19 18:00:00",1.3,1.96
"2020-02-19 19:00:00",1.28,0.8
"2020-02-19 20:00:00",1.26,1.32
"2020-02-19 21:00:00",2.03,0.88
"2020-02-19 22:00:00",1.34,0.7
"2020-02-19 23:00:00",0.73,0.67
"2020-02-20 00:00:00",0.6,0.66
"2020-02-20 01:00:00",0.63,0.67
"2020-02-20 02:00:00",0.79,0.57
"2020-02-20 03:00:00",0.61,0.52
"2020-02-20 04:00:00",0.61,0.51
"2020-02-20 05:00:00",1.1,1.74
"2020-02-20 06:00:00",1.55,3.18
"2020-02-20 07:00:00",2.74,0.52
"2020-02-20 08:00:00",2.2,0.9
"2020-02-20 09:00:00",1.9,0.63
"2020-02-20 10:00:00",1.18,0.64
"2020-02-20 11:00:00",0.89,0.56
"2020-02-20 12:00:00",1.22,0.59
"2020-02-20 13:00:00",0.95,0.63
"2020-02-20 14:00:00",1.03,1.28
"2020-02-20 15:00:00",0.91,1.37
"2020-02-20 16:00:00",0.95,2.02
"2020-02-20 17:00:00",1.04,2.27
"2020-02-20 18:00:00",1.69,1.1
"2020-02-20 19:00:00",1.39,0.93
"2020-02-20 20:00:00",1.68,1.51
"2020-02-20 21:00:00",0.69,0.82
"2020-02-20 22:00:00",0.55,0.75
"2020-02-20 23:00:00",0.52,0.66
"2020-02-21 00:00:00",0.63,0.62
"2020-02-21 01:00:00",0.56,0.66
"2020-02-21 02:00:00",0.52,0.75
"2020-02-21 03:00:00",0.65,0.71
"2020-02-21 04:00:00",0.56,0.7
"2020-02-21 05:00:00",1.4,0.9
"2020-02-21 06:00:00",1.36,1.5
"2020-02-21 07:00:00",0.69,0.67
"2020-02-21 08:00:00",1.45,1.71
"2020-02-21 09:00:00",1.05,1.23
"2020-02-21 10:00:00",0.56,0.54
"2020-02-21 11:00:00",1.1,0.58
"2020-02-21 12:00:00",0.73,0.65
"2020-02-21 13:00:00",0.53,0.6
"2020-02-21 14:00:00",0.49,0.56
"2020-02-21 15:00:00",0.59,1.02
"2020-02-21 16:00:00",0.64,2.17
"2020-02-21 17:00:00",0.9,0.76
"2020-02-21 18:00:00",1.16,0.79
